url_no,url,status,model,p_phishing,prediction,rank,feature,feature_value,shap_signed,abs_shap,direction
2,https://www.google.com,benign,XGBoost (GA),0.0868,BENIGN,10,nb_hyphens,0.0,0.2912,0.2912,PHISHING
2,https://www.google.com,benign,"Stacking (RF+XGB+LR, GA)",0.227,BENIGN,1,nb_www,1.0,-0.12302,0.12302,BENIGN
2,https://www.google.com,benign,"Stacking (RF+XGB+LR, GA)",0.227,BENIGN,2,page_rank,6.32,-0.047801,0.047801,BENIGN
2,https://www.google.com,benign,"Stacking (RF+XGB+LR, GA)",0.227,BENIGN,3,tld_in_path,0.0,-0.023505,0.023505,BENIGN
2,https://www.google.com,benign,"Stacking (RF+XGB+LR, GA)",0.227,BENIGN,4,char_repeat,5.0,-0.021793,0.021793,BENIGN
2,https://www.google.com,benign,"Stacking (RF+XGB+LR, GA)",0.227,BENIGN,5,domain_in_brand,1.0,-0.0215,0.0215,BENIGN
2,https://www.google.com,benign,"Stacking (RF+XGB+LR, GA)",0.227,BENIGN,6,ratio_extHyperlinks,0.3333333333333333,-0.019832,0.019832,BENIGN
2,https://www.google.com,benign,"Stacking (RF+XGB+LR, GA)",0.227,BENIGN,7,avg_word_host,4.0,-0.010821,0.010821,BENIGN
2,https://www.google.com,benign,"Stacking (RF+XGB+LR, GA)",0.227,BENIGN,8,length_hostname,14.0,-0.009262,0.009262,BENIGN
2,https://www.google.com,benign,"Stacking (RF+XGB+LR, GA)",0.227,BENIGN,9,shortest_word_path,0.0,-0.005321,0.005321,BENIGN
2,https://www.google.com,benign,"Stacking (RF+XGB+LR, GA)",0.227,BENIGN,10,ratio_digits_url,0.0,-0.00354,0.00354,BENIGN
3,https://www.ietf.org/,benign,Random Forest (GA),0.3597,BENIGN,1,google_index,1.0,0.090152,0.090152,PHISHING
3,https://www.ietf.org/,benign,Random Forest (GA),0.3597,BENIGN,2,page_rank,4.78,-0.060697,0.060697,BENIGN
3,https://www.ietf.org/,benign,Random Forest (GA),0.3597,BENIGN,3,nb_hyperlinks,160.0,-0.058778,0.058778,BENIGN
3,https://www.ietf.org/,benign,Random Forest (GA),0.3597,BENIGN,4,nb_www,1.0,-0.049908,0.049908,BENIGN
3,https://www.ietf.org/,benign,Random Forest (GA),0.3597,BENIGN,5,web_traffic,0.0,0.048098,0.048098,PHISHING
3,https://www.ietf.org/,benign,Random Forest (GA),0.3597,BENIGN,6,domain_age,0.0,0.018795,0.018795,PHISHING
3,https://www.ietf.org/,benign,Random Forest (GA),0.3597,BENIGN,7,char_repeat,4.0,-0.014616,0.014616,BENIGN
3,https://www.ietf.org/,benign,Random Forest (GA),0.3597,BENIGN,8,phish_hints,0.0,-0.014288,0.014288,BENIGN
3,https://www.ietf.org/,benign,Random Forest (GA),0.3597,BENIGN,9,avg_word_path,0.0,-0.014249,0.014249,BENIGN
3,https://www.ietf.org/,benign,Random Forest (GA),0.3597,BENIGN,10,ratio_digits_url,0.0,-0.013964,0.013964,BENIGN
3,https://www.ietf.org/,benign,XGBoost (GA),0.0264,BENIGN,1,nb_www,1.0,-1.206183,1.206183,BENIGN
3,https://www.ietf.org/,benign,XGBoost (GA),0.0264,BENIGN,2,nb_hyperlinks,160.0,-1.189527,1.189527,BENIGN
3,https://www.ietf.org/,benign,XGBoost (GA),0.0264,BENIGN,3,google_index,1.0,1.061653,1.061653,PHISHING
3,https://www.ietf.org/,benign,XGBoost (GA),0.0264,BENIGN,4,page_rank,4.78,-0.97169,0.97169,BENIGN
3,https://www.ietf.org/,benign,XGBoost (GA),0.0264,BENIGN,5,shortest_word_path,0.0,-0.469145,0.469145,BENIGN
3,https://www.ietf.org/,benign,XGBoost (GA),0.0264,BENIGN,6,phish_hints,0.0,-0.423652,0.423652,BENIGN
3,https://www.ietf.org/,benign,XGBoost (GA),0.0264,BENIGN,7,login_form,1.0,0.394039,0.394039,PHISHING
