url_no,url,status,model,p_phishing,rank,feature,feature_value,shap_signed,abs_shap,direction
2,http://nmhokdypni.sum4iit.club/vnafvra97w/?q=3717065149&id=100,phishing,Random Forest (GA),0.7979316568453974,2,google_index,0.0,-0.059068229243189094,0.059068229243189094,BENIGN
2,http://nmhokdypni.sum4iit.club/vnafvra97w/?q=3717065149&id=100,phishing,Random Forest (GA),0.7979316568453974,3,nb_hyperlinks,0.0,0.0425330081595767,0.0425330081595767,PHISHING
2,http://nmhokdypni.sum4iit.club/vnafvra97w/?q=3717065149&id=100,phishing,Random Forest (GA),0.7979316568453974,4,web_traffic,0.0,0.03974362738767638,0.03974362738767638,PHISHING
2,http://nmhokdypni.sum4iit.club/vnafvra97w/?q=3717065149&id=100,phishing,Random Forest (GA),0.7979316568453974,5,nb_www,0.0,0.028752530557445474,0.028752530557445474,PHISHING
2,http://nmhokdypni.sum4iit.club/vnafvra97w/?q=3717065149&id=100,phishing,Random Forest (GA),0.7979316568453974,6,domain_in_title,0.0,-0.02873083723562697,0.02873083723562697,BENIGN
2,http://nmhokdypni.sum4iit.club/vnafvra97w/?q=3717065149&id=100,phishing,Random Forest (GA),0.7979316568453974,7,ratio_digits_url,0.2580645161290322,0.02690446310848228,0.02690446310848228,PHISHING
2,http://nmhokdypni.sum4iit.club/vnafvra97w/?q=3717065149&id=100,phishing,Random Forest (GA),0.7979316568453974,8,domain_age,0.0,0.022951556802945774,0.022951556802945774,PHISHING
2,http://nmhokdypni.sum4iit.club/vnafvra97w/?q=3717065149&id=100,phishing,Random Forest (GA),0.7979316568453974,9,safe_anchor,0.0,0.016706454806479486,0.016706454806479486,PHISHING
2,http://nmhokdypni.sum4iit.club/vnafvra97w/?q=3717065149&id=100,phishing,Random Forest (GA),0.7979316568453974,10,ratio_digits_host,0.0434782608695652,0.015261253907542205,0.015261253907542205,PHISHING
2,http://nmhokdypni.sum4iit.club/vnafvra97w/?q=3717065149&id=100,phishing,XGBoost (GA),0.9764165282249451,1,page_rank,0.0,2.3509170991292923,2.3509170991292923,PHISHING
2,http://nmhokdypni.sum4iit.club/vnafvra97w/?q=3717065149&id=100,phishing,XGBoost (GA),0.9764165282249451,2,ratio_digits_url,0.2580645161290322,0.6772417863225564,0.6772417863225564,PHISHING
2,http://nmhokdypni.sum4iit.club/vnafvra97w/?q=3717065149&id=100,phishing,XGBoost (GA),0.9764165282249451,3,nb_www,0.0,0.6672764257178642,0.6672764257178642,PHISHING
2,http://nmhokdypni.sum4iit.club/vnafvra97w/?q=3717065149&id=100,phishing,XGBoost (GA),0.9764165282249451,4,nb_hyperlinks,0.0,0.6643539052669075,0.6643539052669075,PHISHING
2,http://nmhokdypni.sum4iit.club/vnafvra97w/?q=3717065149&id=100,phishing,XGBoost (GA),0.9764165282249451,5,google_index,0.0,-0.6554704890778521,0.6554704890778521,BENIGN
2,http://nmhokdypni.sum4iit.club/vnafvra97w/?q=3717065149&id=100,phishing,XGBoost (GA),0.9764165282249451,6,length_url,62.0,-0.6509288516093511,0.6509288516093511,BENIGN
2,http://nmhokdypni.sum4iit.club/vnafvra97w/?q=3717065149&id=100,phishing,XGBoost (GA),0.9764165282249451,7,https_token,0.0,0.4834759687283076,0.4834759687283076,PHISHING
2,http://nmhokdypni.sum4iit.club/vnafvra97w/?q=3717065149&id=100,phishing,XGBoost (GA),0.9764165282249451,8,nb_qm,1.0,0.4758421764220111,0.4758421764220111,PHISHING
2,http://nmhokdypni.sum4iit.club/vnafvra97w/?q=3717065149&id=100,phishing,XGBoost (GA),0.9764165282249451,9,longest_word_path,10.0,-0.42487761108670385,0.42487761108670385,BENIGN
2,http://nmhokdypni.sum4iit.club/vnafvra97w/?q=3717065149&id=100,phishing,XGBoost (GA),0.9764165282249451,10,suspicious_tld,1.0,0.3975001259986311,0.3975001259986311,PHISHING
2,http://nmhokdypni.sum4iit.club/vnafvra97w/?q=3717065149&id=100,phishing,Stacking (GA),0.9702855304131309,1,page_rank,0.0,0.1535670124978457,0.1535670124978457,PHISHING
2,http://nmhokdypni.sum4iit.club/vnafvra97w/?q=3717065149&id=100,phishing,Stacking (GA),0.9702855304131309,2,statistical_report,1.0,0.05658535947506487,0.05658535947506487,PHISHING
2,http://nmhokdypni.sum4iit.club/vnafvra97w/?q=3717065149&id=100,phishing,Stacking (GA),0.9702855304131309,3,ratio_digits_url,0.2580645161290322,0.055498918492127326,0.055498918492127326,PHISHING
2,http://nmhokdypni.sum4iit.club/vnafvra97w/?q=3717065149&id=100,phishing,Stacking (GA),0.9702855304131309,4,nb_extCSS,0.0,0.05489650547555602,0.05489650547555602,PHISHING
2,http://nmhokdypni.sum4iit.club/vnafvra97w/?q=3717065149&id=100,phishing,Stacking (GA),0.9702855304131309,5,avg_word_path,10.0,0.03129533767418676,0.03129533767418676,PHISHING
2,http://nmhokdypni.sum4iit.club/vnafvra97w/?q=3717065149&id=100,phishing,Stacking (GA),0.9702855304131309,6,nb_hyperlinks,0.0,0.028839986309284138,0.028839986309284138,PHISHING
2,http://nmhokdypni.sum4iit.club/vnafvra97w/?q=3717065149&id=100,phishing,Stacking (GA),0.9702855304131309,7,nb_dots,2.0,0.02704875620628534,0.02704875620628534,PHISHING
2,http://nmhokdypni.sum4iit.club/vnafvra97w/?q=3717065149&id=100,phishing,Stacking (GA),0.9702855304131309,8,web_traffic,0.0,0.022158179278157594,0.022158179278157594,PHISHING
2,http://nmhokdypni.sum4iit.club/vnafvra97w/?q=3717065149&id=100,phishing,Stacking (GA),0.9702855304131309,9,nb_dslash,1.0,0.018115845275043858,0.018115845275043858,PHISHING
2,http://nmhokdypni.sum4iit.club/vnafvra97w/?q=3717065149&id=100,phishing,Stacking (GA),0.9702855304131309,10,safe_anchor,0.0,0.008924276141028338,0.008924276141028338,PHISHING
3,http://nmhokdypni.sum4iit.club/vnafvra97w/?q=3717065149&id=100,phishing,Random Forest (GA),0.7979316568453974,1,page_rank,0.0,0.12015696618917396,0.12015696618917396,PHISHING
3,http://nmhokdypni.sum4iit.club/vnafvra97w/?q=3717065149&id=100,phishing,Random Forest (GA),0.7979316568453974,2,google_index,0.0,-0.059068229243189094,0.059068229243189094,BENIGN
3,http://nmhokdypni.sum4iit.club/vnafvra97w/?q=3717065149&id=100,phishing,Random Forest (GA),0.7979316568453974,3,nb_hyperlinks,0.0,0.0425330081595767,0.0425330081595767,PHISHING
3,http://nmhokdypni.sum4iit.club/vnafvra97w/?q=3717065149&id=100,phishing,Random Forest (GA),0.7979316568453974,4,web_traffic,0.0,0.03974362738767638,0.03974362738767638,PHISHING
3,http://nmhokdypni.sum4iit.club/vnafvra97w/?q=3717065149&id=100,phishing,Random Forest (GA),0.7979316568453974,5,nb_www,0.0,0.028752530557445474,0.028752530557445474,PHISHING
3,http://nmhokdypni.sum4iit.club/vnafvra97w/?q=3717065149&id=100,phishing,Random Forest (GA),0.7979316568453974,6,domain_in_title,0.0,-0.02873083723562697,0.02873083723562697,BENIGN
3,http://nmhokdypni.sum4iit.club/vnafvra97w/?q=3717065149&id=100,phishing,Random Forest (GA),0.7979316568453974,7,ratio_digits_url,0.2580645161290322,0.02690446310848228,0.02690446310848228,PHISHING
3,http://nmhokdypni.sum4iit.club/vnafvra97w/?q=3717065149&id=100,phishing,Random Forest (GA),0.7979316568453974,8,domain_age,0.0,0.022951556802945774,0.022951556802945774,PHISHING
3,http://nmhokdypni.sum4iit.club/vnafvra97w/?q=3717065149&id=100,phishing,Random Forest (GA),0.7979316568453974,9,safe_anchor,0.0,0.016706454806479486,0.016706454806479486,PHISHING
3,http://nmhokdypni.sum4iit.club/vnafvra97w/?q=3717065149&id=100,phishing,Random Forest (GA),0.7979316568453974,10,ratio_digits_host,0.0434782608695652,0.015261253907542205,0.015261253907542205,PHISHING
3,http://nmhokdypni.sum4iit.club/vnafvra97w/?q=3717065149&id=100,phishing,XGBoost (GA),0.9764165282249451,1,page_rank,0.0,2.3509170991292923,2.3509170991292923,PHISHING
3,http://nmhokdypni.sum4iit.club/vnafvra97w/?q=3717065149&id=100,phishing,XGBoost (GA),0.9764165282249451,2,ratio_digits_url,0.2580645161290322,0.6772417863225564,0.6772417863225564,PHISHING
3,http://nmhokdypni.sum4iit.club/vnafvra97w/?q=3717065149&id=100,phishing,XGBoost (GA),0.9764165282249451,3,nb_www,0.0,0.6672764257178642,0.6672764257178642,PHISHING
3,http://nmhokdypni.sum4iit.club/vnafvra97w/?q=3717065149&id=100,phishing,XGBoost (GA),0.9764165282249451,4,nb_hyperlinks,0.0,0.6643539052669075,0.6643539052669075,PHISHING
3,http://nmhokdypni.sum4iit.club/vnafvra97w/?q=3717065149&id=100,phishing,XGBoost (GA),0.9764165282249451,5,google_index,0.0,-0.6554704890778521,0.6554704890778521,BENIGN
3,http://nmhokdypni.sum4iit.club/vnafvra97w/?q=3717065149&id=100,phishing,XGBoost (GA),0.9764165282249451,6,length_url,62.0,-0.6509288516093511,0.6509288516093511,BENIGN
3,http://nmhokdypni.sum4iit.club/vnafvra97w/?q=3717065149&id=100,phishing,XGBoost (GA),0.9764165282249451,7,https_token,0.0,0.4834759687283076,0.4834759687283076,PHISHING
3,http://nmhokdypni.sum4iit.club/vnafvra97w/?q=3717065149&id=100,phishing,XGBoost (GA),0.9764165282249451,8,nb_qm,1.0,0.4758421764220111,0.4758421764220111,PHISHING
3,http://nmhokdypni.sum4iit.club/vnafvra97w/?q=3717065149&id=100,phishing,XGBoost (GA),0.9764165282249451,9,longest_word_path,10.0,-0.42487761108670385,0.42487761108670385,BENIGN
